Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type
50,UK,Apple Music,Rock,408,500,Taylor Swift,Premium
20,Brazil,Spotify,Reggae,212,353,Drake,Premium
28,South Korea,Amazon Music,Hip-Hop,470,498,The Weeknd,Free
59,UK,YouTube,Country,153,361,Bad Bunny,Premium
24,Canada,Apple Music,R&B,180,127,The Weeknd,Premium
37,South Korea,Apple Music,Reggae,256,203,Post Malone,Premium
54,South Korea,Tidal,Pop,484,192,Taylor Swift,Free
19,USA,YouTube,EDM,396,204,Drake,Free
43,Australia,Apple Music,Jazz,464,365,Taylor Swift,Premium
55,USA,Tidal,Hip-Hop,23,487,The Weeknd,Premium
36,Canada,Amazon Music,Rock,179,420,BTS,Premium
53,USA,Tidal,Metal,55,129,Adele,Free
23,Japan,Spotify,Rock,65,252,Dua Lipa,Premium
22,France,Apple Music,Metal,249,438,Bad Bunny,Premium
40,Australia,Spotify,Rock,224,264,Post Malone,Premium
37,Australia,Amazon Music,Rock,574,96,Taylor Swift,Premium
58,South Korea,Apple Music,Rock,464,366,Post Malone,Premium
31,France,Amazon Music,Reggae,354,437,Ed Sheeran,Free
16,UK,Deezer,Country,474,144,Adele,Premium
59,Japan,Tidal,R&B,482,296,Bad Bunny,Free
58,South Korea,Tidal,Rock,352,136,Adele,Premium
13,USA,YouTube,Reggae,454,239,Billie Eilish,Premium
60,India,Spotify,Jazz,305,33,Dua Lipa,Premium
25,USA,Spotify,Pop,130,74,Billie Eilish,Free
15,France,Amazon Music,Pop,271,408,Dua Lipa,Free
60,Japan,Tidal,Hip-Hop,376,278,The Weeknd,Free
16,UK,Amazon Music,Country,20,184,The Weeknd,Free
58,India,Amazon Music,Metal,93,374,Taylor Swift,Free
52,Brazil,YouTube,Country,60,137,Dua Lipa,Free
24,India,Amazon Music,Classical,183,333,Bad Bunny,Free
22,India,Apple Music,Country,198,115,Billie Eilish,Premium
60,South Korea,Deezer,Reggae,464,268,Bad Bunny,Premium
57,Japan,Apple Music,Pop,115,159,Post Malone,Premium
58,Germany,Spotify,Jazz,239,255,Dua Lipa,Free
14,Japan,YouTube,Country,368,78,Drake,Premium
28,Germany,Amazon Music,Classical,585,326,Adele,Free
48,Australia,YouTube,Jazz,253,464,The Weeknd,Free
29,USA,Deezer,Reggae,75,310,Taylor Swift,Premium
35,Japan,Spotify,Hip-Hop,30,270,BTS,Free
27,Canada,Spotify,EDM,112,54,Post Malone,Free
17,USA,Apple Music,Reggae,80,403,Taylor Swift,Premium
52,South Korea,Deezer,Rock,311,229,Post Malone,Premium
38,Japan,Amazon Music,Jazz,201,441,The Weeknd,Free
57,USA,Spotify,Rock,26,333,Adele,Free
13,France,Apple Music,Reggae,381,205,The Weeknd,Premium
16,Japan,Tidal,Pop,329,23,Dua Lipa,Premium
44,UK,Spotify,Reggae,39,44,Billie Eilish,Premium
39,Brazil,Tidal,Hip-Hop,35,79,Post Malone,Premium
52,Brazil,YouTube,Rock,180,372,BTS,Premium
57,South Korea,Spotify,Metal,109,62,Drake,Free
17,India,Tidal,Rock,445,97,Ed Sheeran,Free
35,France,Apple Music,Pop,393,135,Post Malone,Free
25,South Korea,Tidal,Pop,232,97,Taylor Swift,Free
27,Brazil,YouTube,R&B,386,476,The Weeknd,Free
30,India,Spotify,Hip-Hop,387,245,Taylor Swift,Free
43,Brazil,Tidal,Reggae,188,128,BTS,Free
51,France,Spotify,Hip-Hop,270,107,Adele,Free
49,South Korea,Spotify,Classical,296,260,Billie Eilish,Premium
22,USA,Spotify,EDM,543,69,Adele,Premium
40,USA,Deezer,Metal,519,368,Adele,Free
51,Japan,Tidal,Metal,105,318,BTS,Free
32,Australia,Spotify,Jazz,184,495,Dua Lipa,Premium
43,Brazil,Apple Music,Classical,238,177,Bad Bunny,Free
41,Germany,Spotify,Rock,589,320,BTS,Free
13,Germany,Deezer,R&B,37,374,Dua Lipa,Premium
40,USA,YouTube,EDM,194,107,Adele,Premium
48,UK,Tidal,Rock,248,241,Adele,Premium
18,Germany,Amazon Music,Classical,475,67,The Weeknd,Premium
15,France,YouTube,Hip-Hop,370,21,Adele,Premium
41,South Korea,Spotify,Rock,354,466,Billie Eilish,Premium
44,Japan,Deezer,Reggae,250,150,BTS,Premium
52,Australia,Deezer,Rock,509,37,Adele,Free
33,USA,Tidal,Jazz,47,129,Adele,Free
25,Australia,Spotify,Rock,597,386,Adele,Premium
54,Canada,Amazon Music,Reggae,472,490,Taylor Swift,Free
53,USA,YouTube,Rock,552,202,Ed Sheeran,Free
52,India,Apple Music,Metal,319,447,Ed Sheeran,Premium
38,France,Tidal,Hip-Hop,361,112,Billie Eilish,Premium
36,Canada,YouTube,Pop,198,110,Post Malone,Premium
37,Germany,Amazon Music,Pop,96,370,Billie Eilish,Free
42,Germany,Amazon Music,R&B,291,393,BTS,Premium
33,Japan,Spotify,Hip-Hop,396,205,BTS,Premium
31,Japan,Spotify,Jazz,488,473,Dua Lipa,Free
39,Japan,YouTube,R&B,586,178,Billie Eilish,Premium
52,UK,Deezer,Hip-Hop,470,23,Adele,Free
39,UK,Tidal,Pop,47,339,The Weeknd,Premium
30,UK,Tidal,R&B,469,421,Billie Eilish,Premium
38,India,Spotify,Classical,399,472,Post Malone,Free
17,Japan,Spotify,Jazz,48,475,Dua Lipa,Premium
17,Brazil,Apple Music,Country,50,69,Billie Eilish,Free
21,UK,Amazon Music,Metal,510,4,Adele,Premium
28,Brazil,YouTube,Hip-Hop,278,457,Post Malone,Free
28,UK,Deezer,Metal,235,61,Billie Eilish,Premium
23,USA,Apple Music,Rock,443,120,Drake,Premium
17,Germany,Deezer,R&B,476,372,Adele,Free
33,France,YouTube,Hip-Hop,128,200,The Weeknd,Premium
47,Australia,Tidal,Pop,137,496,The Weeknd,Premium
42,France,Tidal,R&B,453,373,BTS,Free
48,France,YouTube,EDM,224,370,Drake,Free
15,Canada,Amazon Music,Hip-Hop,19,343,Billie Eilish,Free
44,UK,YouTube,Rock,340,483,Ed Sheeran,Free
29,India,Tidal,Jazz,332,380,Post Malone,Premium
43,South Korea,Apple Music,Classical,316,392,Ed Sheeran,Free
55,India,Tidal,Rock,10,6,BTS,Free
47,Australia,Spotify,Classical,586,137,The Weeknd,Free
28,USA,YouTube,Pop,460,252,Billie Eilish,Premium
49,Canada,Spotify,Jazz,95,10,Drake,Premium
13,UK,Apple Music,Country,445,279,Post Malone,Free
44,Germany,Deezer,Pop,529,198,The Weeknd,Premium
43,Australia,Amazon Music,Jazz,542,115,Drake,Free
15,USA,Apple Music,Reggae,414,107,Bad Bunny,Premium
29,Brazil,YouTube,Pop,336,431,Ed Sheeran,Free
13,India,Amazon Music,Country,243,261,Adele,Premium
26,France,Amazon Music,Metal,428,126,Taylor Swift,Premium
38,Australia,Deezer,Hip-Hop,119,32,Taylor Swift,Free
47,Brazil,Apple Music,Reggae,290,426,Adele,Premium
28,Australia,Apple Music,Hip-Hop,590,31,Ed Sheeran,Premium
37,UK,Apple Music,Classical,269,168,Post Malone,Free
33,UK,Deezer,R&B,175,145,Ed Sheeran,Free
39,Germany,Apple Music,Pop,250,219,Post Malone,Premium
19,Brazil,Apple Music,Pop,228,262,Taylor Swift,Premium
37,Germany,Apple Music,Jazz,15,485,The Weeknd,Free
20,Japan,Amazon Music,Country,525,387,The Weeknd,Free
18,Canada,YouTube,Country,495,252,Drake,Premium
20,USA,Apple Music,Metal,256,262,Drake,Free
18,UK,Amazon Music,Jazz,74,170,Dua Lipa,Free
46,Germany,Deezer,Rock,559,302,Dua Lipa,Premium
47,France,YouTube,Reggae,72,72,Adele,Free
27,Canada,Tidal,Pop,392,55,Dua Lipa,Free
44,France,Deezer,Metal,501,214,Taylor Swift,Free
42,USA,Deezer,Jazz,233,496,Dua Lipa,Premium
19,Japan,Deezer,Country,544,359,Ed Sheeran,Free
17,France,Tidal,Reggae,231,413,Ed Sheeran,Premium
28,India,YouTube,Reggae,160,258,Taylor Swift,Free
54,Canada,Tidal,Hip-Hop,269,136,Ed Sheeran,Free
58,Australia,Tidal,Pop,130,121,Taylor Swift,Free
16,India,YouTube,Jazz,110,478,Bad Bunny,Premium
27,France,Amazon Music,Classical,503,429,Post Malone,Free
30,South Korea,Spotify,Metal,87,257,Adele,Free
21,Japan,Spotify,EDM,260,446,Taylor Swift,Free
48,Canada,Amazon Music,Pop,477,273,Bad Bunny,Premium
38,Brazil,Apple Music,Classical,509,236,Post Malone,Premium
28,France,YouTube,Pop,555,262,Bad Bunny,Premium
52,Brazil,Apple Music,Country,106,388,Billie Eilish,Free
18,Japan,YouTube,Reggae,398,76,Taylor Swift,Premium
47,South Korea,Spotify,Hip-Hop,566,90,Post Malone,Free
20,India,Deezer,Metal,62,65,Bad Bunny,Premium
16,Brazil,Spotify,Pop,417,395,Bad Bunny,Free
48,Germany,Deezer,Country,53,310,Bad Bunny,Free
49,Canada,YouTube,Rock,406,9,Ed Sheeran,Premium
49,India,Amazon Music,Country,424,177,Billie Eilish,Free
58,Germany,Tidal,Classical,444,19,BTS,Free
43,France,Spotify,R&B,12,207,Dua Lipa,Premium
16,Germany,Deezer,Hip-Hop,425,486,Billie Eilish,Free
26,Germany,Spotify,Country,24,345,Taylor Swift,Premium
15,France,YouTube,Classical,563,79,Taylor Swift,Premium
51,India,Tidal,Country,352,436,Bad Bunny,Premium
34,Canada,YouTube,R&B,547,144,Drake,Premium
36,Brazil,Amazon Music,Metal,293,394,Drake,Free
47,USA,Spotify,Jazz,344,70,Ed Sheeran,Free
40,India,YouTube,EDM,509,379,Post Malone,Free
40,Germany,YouTube,Pop,173,297,Post Malone,Premium
59,France,YouTube,Pop,516,296,Post Malone,Premium
43,Japan,Amazon Music,Hip-Hop,24,5,Ed Sheeran,Free
15,UK,Amazon Music,Jazz,276,53,Ed Sheeran,Free
51,Canada,Apple Music,Jazz,245,500,Post Malone,Free
41,Australia,Apple Music,Pop,66,13,Taylor Swift,Free
42,India,Deezer,EDM,474,100,The Weeknd,Premium
23,UK,Spotify,Rock,35,409,Bad Bunny,Free
27,South Korea,Tidal,Classical,554,260,Ed Sheeran,Free
21,France,Tidal,EDM,336,474,The Weeknd,Free
33,Brazil,Spotify,Rock,333,307,Ed Sheeran,Free
48,France,Deezer,Hip-Hop,70,127,BTS,Free
39,Canada,Tidal,R&B,154,206,Taylor Swift,Premium
44,Australia,Spotify,Jazz,336,260,Taylor Swift,Premium
13,Brazil,YouTube,Pop,367,108,Bad Bunny,Free
47,USA,Tidal,Metal,191,99,Billie Eilish,Premium
29,South Korea,Tidal,R&B,591,7,Adele,Premium
15,Australia,Amazon Music,Jazz,82,63,Dua Lipa,Premium
48,Germany,Deezer,Metal,129,348,Adele,Premium
36,Japan,Apple Music,Jazz,228,202,Dua Lipa,Free
49,UK,Tidal,EDM,470,147,Drake,Premium
54,USA,Tidal,Metal,165,341,Dua Lipa,Free
48,India,Apple Music,Pop,401,27,Billie Eilish,Free
13,South Korea,Apple Music,Hip-Hop,588,412,BTS,Free
31,South Korea,YouTube,R&B,26,175,BTS,Premium
60,India,Tidal,Rock,281,262,The Weeknd,Free
35,USA,Amazon Music,Classical,17,347,Drake,Premium
31,Japan,Apple Music,Pop,485,407,Bad Bunny,Premium
58,South Korea,Tidal,Rock,560,465,Drake,Free
36,Brazil,Amazon Music,Pop,387,139,Taylor Swift,Premium
51,South Korea,Deezer,Country,10,486,Ed Sheeran,Free
60,Canada,Apple Music,Reggae,520,434,The Weeknd,Premium
38,UK,YouTube,Metal,122,274,Ed Sheeran,Premium
31,India,Amazon Music,Hip-Hop,433,169,Billie Eilish,Free
37,Brazil,Deezer,EDM,328,75,The Weeknd,Free
60,Brazil,Spotify,R&B,217,130,Adele,Premium
46,Germany,YouTube,Classical,110,251,Adele,Premium
18,USA,Deezer,EDM,493,404,Ed Sheeran,Premium
43,Canada,YouTube,Jazz,122,87,Post Malone,Premium
40,Canada,Tidal,Pop,577,317,Bad Bunny,Premium
38,Australia,Deezer,Reggae,412,184,Post Malone,Premium
52,UK,Deezer,Classical,279,462,Adele,Free
40,India,Spotify,Metal,513,241,Post Malone,Free
46,India,Deezer,Classical,424,60,Billie Eilish,Premium
36,South Korea,Tidal,Metal,257,353,Post Malone,Free
34,Brazil,Amazon Music,R&B,31,334,Dua Lipa,Free
57,Germany,Deezer,Reggae,316,452,Drake,Free
37,France,Amazon Music,Classical,341,419,Taylor Swift,Premium
15,Canada,Tidal,Jazz,368,379,BTS,Premium
57,South Korea,YouTube,Country,346,471,Bad Bunny,Free
45,South Korea,YouTube,Metal,385,425,Post Malone,Premium
39,South Korea,Deezer,Classical,105,489,Post Malone,Free
17,Canada,YouTube,Jazz,265,219,The Weeknd,Premium
43,South Korea,Spotify,R&B,484,492,Adele,Premium
53,UK,Deezer,Metal,558,482,Adele,Free
55,Japan,Amazon Music,Country,29,34,Bad Bunny,Free
50,Germany,Deezer,Classical,402,460,Taylor Swift,Premium
47,India,Spotify,Jazz,68,236,BTS,Free
24,Canada,Deezer,EDM,572,465,Drake,Free
51,Canada,Spotify,Metal,487,16,Post Malone,Free
17,France,Amazon Music,Classical,289,303,BTS,Premium
42,USA,YouTube,Metal,21,495,The Weeknd,Free
22,Australia,Tidal,Reggae,122,408,Post Malone,Free
27,UK,YouTube,Country,137,298,The Weeknd,Premium
45,India,Spotify,Pop,493,62,BTS,Free
15,India,Deezer,Pop,355,360,Taylor Swift,Free
32,South Korea,Spotify,Metal,146,276,Dua Lipa,Free
21,India,Apple Music,Reggae,537,213,Dua Lipa,Premium
37,South Korea,YouTube,R&B,599,70,Ed Sheeran,Free
21,India,Deezer,Metal,369,93,Bad Bunny,Premium
59,Brazil,Tidal,Hip-Hop,164,150,The Weeknd,Free
32,Germany,Amazon Music,R&B,397,439,BTS,Free
42,India,Tidal,Jazz,54,234,Billie Eilish,Premium
57,South Korea,Amazon Music,Classical,548,87,Adele,Free
50,Japan,Amazon Music,Jazz,584,16,Drake,Premium
33,Canada,Deezer,EDM,30,77,Post Malone,Free
26,India,Tidal,Metal,82,52,Adele,Free
60,France,Tidal,R&B,83,262,Taylor Swift,Premium
29,USA,Deezer,Classical,545,358,Bad Bunny,Premium
51,India,Deezer,Metal,141,317,Bad Bunny,Free
46,South Korea,Amazon Music,Classical,484,257,Taylor Swift,Premium
27,Japan,Deezer,Metal,74,364,Post Malone,Premium
43,Brazil,Tidal,Country,216,36,The Weeknd,Premium
38,India,YouTube,Hip-Hop,431,28,Drake,Free
22,South Korea,Deezer,EDM,182,242,Post Malone,Premium
19,Canada,Spotify,R&B,250,83,Adele,Premium
13,Germany,Tidal,Pop,527,264,BTS,Free
29,Canada,Tidal,Pop,163,406,Dua Lipa,Premium
54,France,Tidal,EDM,122,238,The Weeknd,Premium
17,South Korea,Amazon Music,Reggae,496,278,Ed Sheeran,Free
18,UK,Tidal,Metal,471,393,Dua Lipa,Premium
20,Australia,Amazon Music,Country,88,431,Drake,Free
54,South Korea,Spotify,Classical,374,187,Taylor Swift,Premium
57,South Korea,Amazon Music,Metal,551,166,The Weeknd,Premium
59,Australia,Amazon Music,Rock,86,403,Post Malone,Premium
53,Australia,Deezer,Country,282,191,Post Malone,Premium
38,Australia,YouTube,R&B,218,181,Post Malone,Free
44,UK,Apple Music,R&B,477,351,Taylor Swift,Premium
48,Australia,Apple Music,Metal,174,124,The Weeknd,Free
56,USA,YouTube,R&B,265,453,The Weeknd,Free
44,South Korea,YouTube,Jazz,322,70,Ed Sheeran,Free
34,Brazil,Deezer,Classical,314,336,Ed Sheeran,Premium
40,France,Spotify,Pop,52,127,Billie Eilish,Premium
16,UK,Spotify,Country,55,20,The Weeknd,Free
37,India,Deezer,Reggae,235,123,Dua Lipa,Premium
36,India,Spotify,Metal,84,251,Taylor Swift,Premium
13,UK,Tidal,Rock,14,361,Taylor Swift,Premium
57,UK,Apple Music,Jazz,398,175,Billie Eilish,Premium
39,USA,Spotify,Hip-Hop,155,218,Bad Bunny,Premium
44,Germany,YouTube,Hip-Hop,573,278,Adele,Free
45,Brazil,Tidal,R&B,529,284,Taylor Swift,Premium
40,South Korea,Spotify,Pop,175,440,Ed Sheeran,Free
42,Germany,Tidal,Pop,68,248,Taylor Swift,Premium
38,USA,Apple Music,EDM,518,276,Dua Lipa,Premium
32,Australia,Tidal,Rock,265,294,Taylor Swift,Premium
55,South Korea,Spotify,Jazz,245,201,Drake,Premium
50,Germany,YouTube,Reggae,591,303,Bad Bunny,Free
23,India,Deezer,Pop,347,300,The Weeknd,Free
24,South Korea,Deezer,Metal,400,167,Bad Bunny,Free
22,Brazil,Tidal,Metal,228,469,Billie Eilish,Free
18,UK,Spotify,Metal,585,62,Billie Eilish,Premium
33,UK,Amazon Music,Classical,543,425,Adele,Premium
34,Brazil,Apple Music,EDM,125,39,The Weeknd,Premium
34,Australia,Spotify,Pop,325,298,Adele,Premium
41,India,Spotify,Reggae,567,102,Ed Sheeran,Free
14,Australia,Apple Music,Pop,418,471,Dua Lipa,Free
57,South Korea,Tidal,Classical,168,90,Adele,Premium
32,South Korea,YouTube,R&B,418,183,Post Malone,Premium
14,India,Spotify,R&B,71,20,Post Malone,Free
36,India,Amazon Music,EDM,29,367,Ed Sheeran,Premium
25,France,Tidal,Hip-Hop,154,376,Taylor Swift,Premium
21,UK,Apple Music,Country,80,396,Bad Bunny,Premium
60,South Korea,Deezer,Rock,380,185,The Weeknd,Free
28,India,Tidal,Jazz,92,206,Drake,Premium
20,Brazil,Spotify,Rock,491,174,Ed Sheeran,Free
21,Germany,YouTube,Metal,189,129,Ed Sheeran,Premium
27,Canada,YouTube,Rock,369,136,Adele,Premium
37,Germany,Spotify,Jazz,83,135,Post Malone,Premium
60,Australia,YouTube,Jazz,536,270,BTS,Premium
44,USA,Spotify,Reggae,182,162,The Weeknd,Premium
40,Canada,Tidal,EDM,266,145,Ed Sheeran,Premium
41,Australia,YouTube,EDM,500,470,Taylor Swift,Premium
33,India,Deezer,Rock,203,446,Billie Eilish,Free
33,Australia,Apple Music,Reggae,56,8,Ed Sheeran,Free
52,Germany,Amazon Music,Pop,391,77,Bad Bunny,Free
22,UK,Amazon Music,Pop,237,345,Post Malone,Premium
51,UK,Deezer,Metal,252,70,Billie Eilish,Premium
36,India,Deezer,R&B,384,97,Bad Bunny,Premium
31,Germany,Tidal,Rock,224,480,Ed Sheeran,Premium
59,Australia,Tidal,R&B,105,369,Bad Bunny,Premium
57,UK,YouTube,R&B,317,271,Dua Lipa,Free
43,Canada,YouTube,Pop,110,379,Drake,Premium
37,Canada,Apple Music,EDM,528,135,Adele,Premium
52,India,Spotify,Metal,333,12,Taylor Swift,Free
58,Japan,Amazon Music,Jazz,118,180,BTS,Free
54,France,Apple Music,Country,377,404,Adele,Free
27,Brazil,Spotify,Rock,429,456,Taylor Swift,Free
53,Canada,YouTube,Reggae,419,311,Adele,Free
16,Japan,YouTube,Pop,264,436,Dua Lipa,Premium
29,Canada,Deezer,Classical,479,32,Post Malone,Premium
31,UK,Deezer,Pop,135,53,BTS,Free
52,South Korea,Tidal,Pop,583,230,Taylor Swift,Premium
41,Australia,Apple Music,R&B,569,293,Dua Lipa,Free
14,Japan,Spotify,Hip-Hop,534,141,Taylor Swift,Free
59,India,YouTube,R&B,510,305,BTS,Free
16,Japan,Tidal,R&B,578,123,Ed Sheeran,Premium
54,France,Spotify,Rock,250,276,Dua Lipa,Premium
27,USA,Spotify,Pop,522,230,Post Malone,Free
39,Canada,YouTube,Pop,371,196,Drake,Premium
58,Japan,Spotify,Classical,531,327,Post Malone,Free
35,India,Spotify,Country,583,249,Post Malone,Free
41,Canada,Apple Music,EDM,568,439,Post Malone,Premium
24,France,YouTube,Hip-Hop,469,223,The Weeknd,Premium
24,Canada,Apple Music,Rock,110,417,BTS,Free
15,India,Deezer,Pop,101,336,Drake,Free
53,South Korea,Spotify,Reggae,345,498,Post Malone,Premium
43,USA,Deezer,Rock,317,424,Post Malone,Premium
51,Brazil,Apple Music,Jazz,80,448,Dua Lipa,Free
33,South Korea,Spotify,Hip-Hop,171,314,Bad Bunny,Free
30,Brazil,Tidal,Metal,278,315,Ed Sheeran,Free
59,Brazil,Spotify,R&B,288,125,Post Malone,Premium
53,France,Apple Music,Reggae,198,135,The Weeknd,Premium
29,USA,Apple Music,Metal,190,318,Post Malone,Free
21,India,Spotify,Rock,144,415,Billie Eilish,Free
48,India,Tidal,Reggae,480,104,Taylor Swift,Premium
58,Japan,Spotify,R&B,219,67,The Weeknd,Premium
35,Australia,Tidal,EDM,457,153,Bad Bunny,Premium
28,Australia,Apple Music,Reggae,384,495,Adele,Free
31,India,Deezer,R&B,188,130,Bad Bunny,Premium
52,UK,Deezer,Pop,558,77,Bad Bunny,Free
42,South Korea,Spotify,Country,105,262,Drake,Premium
55,India,Deezer,Pop,435,423,Bad Bunny,Free
34,UK,Tidal,Reggae,174,401,Dua Lipa,Free
34,Japan,Amazon Music,Country,253,145,Ed Sheeran,Free
35,Germany,Amazon Music,Hip-Hop,161,410,The Weeknd,Free
24,France,Tidal,Jazz,530,372,Drake,Premium
32,Japan,YouTube,Pop,380,343,BTS,Free
22,USA,Amazon Music,Hip-Hop,291,349,Adele,Free
51,France,Deezer,EDM,370,153,Billie Eilish,Premium
30,UK,Deezer,Reggae,12,266,Taylor Swift,Free
43,Canada,Apple Music,Reggae,519,407,BTS,Premium
58,France,Deezer,Hip-Hop,571,135,Adele,Premium
50,USA,Amazon Music,Metal,73,488,Bad Bunny,Free
13,Germany,YouTube,Hip-Hop,130,414,Bad Bunny,Free
29,South Korea,Apple Music,R&B,233,110,The Weeknd,Premium
16,Australia,Deezer,Jazz,34,218,Drake,Premium
34,Canada,YouTube,EDM,354,473,Ed Sheeran,Free
47,Australia,Apple Music,R&B,248,153,Ed Sheeran,Premium
59,South Korea,Spotify,Hip-Hop,154,1,Ed Sheeran,Premium
40,Canada,Deezer,Hip-Hop,316,422,Adele,Premium
38,South Korea,Amazon Music,Hip-Hop,339,499,BTS,Free
38,Australia,Amazon Music,Hip-Hop,404,383,Taylor Swift,Free
46,UK,Spotify,Rock,553,321,Bad Bunny,Free
40,Canada,Deezer,Country,548,178,Dua Lipa,Free
44,India,Tidal,Hip-Hop,310,178,Taylor Swift,Premium
52,Canada,Tidal,EDM,352,425,The Weeknd,Premium
22,UK,YouTube,Classical,147,77,Adele,Premium
58,Canada,YouTube,R&B,111,70,The Weeknd,Free
34,Australia,Spotify,Rock,516,432,Post Malone,Free
34,Germany,YouTube,EDM,462,377,Drake,Premium
25,Brazil,Amazon Music,EDM,192,360,The Weeknd,Free
45,South Korea,Tidal,Rock,243,155,Billie Eilish,Free
58,Australia,Apple Music,Jazz,141,8,Billie Eilish,Free
27,USA,Amazon Music,Pop,46,249,The Weeknd,Premium
42,France,Deezer,Metal,263,291,Post Malone,Premium
39,France,YouTube,Classical,38,96,Bad Bunny,Premium
17,Japan,Amazon Music,Metal,259,455,Billie Eilish,Free
15,Australia,Tidal,Jazz,243,101,Bad Bunny,Premium
19,USA,Spotify,EDM,354,434,Ed Sheeran,Free
42,South Korea,Spotify,Rock,365,196,The Weeknd,Premium
19,Australia,Spotify,Metal,593,428,Bad Bunny,Premium
56,Brazil,Apple Music,Classical,394,154,BTS,Premium
25,Japan,Tidal,EDM,400,417,Billie Eilish,Free
17,Canada,Spotify,Reggae,87,326,Bad Bunny,Free
47,Brazil,Apple Music,Pop,578,463,Taylor Swift,Free
23,Brazil,Spotify,Rock,44,113,Bad Bunny,Premium
41,France,Tidal,Rock,397,213,BTS,Premium
42,South Korea,Deezer,Rock,517,175,Bad Bunny,Premium
33,UK,YouTube,Country,97,52,Billie Eilish,Premium
25,South Korea,Tidal,Metal,520,459,Ed Sheeran,Free
54,France,Apple Music,EDM,196,481,Ed Sheeran,Premium
56,France,Spotify,Jazz,302,393,Drake,Free
20,Canada,Spotify,Pop,407,97,Billie Eilish,Premium
20,Australia,Amazon Music,Reggae,380,298,Post Malone,Premium
56,Japan,Apple Music,Metal,535,392,Adele,Premium
14,India,Deezer,EDM,207,400,Billie Eilish,Premium
60,UK,Tidal,Hip-Hop,428,235,Bad Bunny,Free
18,South Korea,Spotify,Rock,425,492,Taylor Swift,Free
45,USA,Spotify,R&B,162,450,The Weeknd,Free
16,Canada,YouTube,Reggae,269,464,Ed Sheeran,Premium
17,Germany,Tidal,Rock,12,82,Bad Bunny,Free
19,Australia,Deezer,Rock,402,250,Taylor Swift,Premium
44,Australia,Amazon Music,Rock,442,193,Ed Sheeran,Premium
30,Australia,Amazon Music,Hip-Hop,53,173,Dua Lipa,Free
25,South Korea,Amazon Music,Country,146,170,Taylor Swift,Free
53,Japan,Tidal,Country,142,260,Dua Lipa,Premium
36,USA,Deezer,Metal,388,482,Dua Lipa,Premium
23,India,YouTube,EDM,385,349,Post Malone,Premium
53,USA,YouTube,Pop,68,256,Post Malone,Premium
53,Germany,Apple Music,EDM,129,473,Taylor Swift,Free
27,India,YouTube,Pop,358,54,BTS,Premium
24,Germany,YouTube,Reggae,408,500,Post Malone,Free
54,India,Tidal,R&B,149,397,Dua Lipa,Premium
30,Australia,Tidal,Jazz,17,36,Dua Lipa,Premium
58,UK,Apple Music,Pop,352,392,Ed Sheeran,Free
31,USA,Tidal,Classical,230,466,Taylor Swift,Free
43,Australia,YouTube,Country,600,240,Ed Sheeran,Premium
13,Germany,Amazon Music,Pop,484,61,Adele,Free
16,India,Apple Music,Classical,430,490,Adele,Premium
23,India,Deezer,Reggae,272,45,Post Malone,Free
44,South Korea,Amazon Music,Hip-Hop,580,14,Adele,Free
49,Japan,YouTube,Jazz,67,249,Post Malone,Premium
58,Brazil,Tidal,R&B,399,495,Adele,Premium
56,Brazil,Deezer,Pop,309,89,Billie Eilish,Free
50,Canada,Tidal,Pop,113,338,Ed Sheeran,Premium
31,Germany,Amazon Music,Country,213,1,Post Malone,Premium
24,Canada,Amazon Music,EDM,268,238,Post Malone,Premium
45,Germany,Spotify,EDM,112,22,Adele,Free
31,South Korea,Amazon Music,Hip-Hop,420,175,Bad Bunny,Premium
34,France,YouTube,Classical,217,72,Billie Eilish,Premium
19,India,Apple Music,Pop,139,468,Taylor Swift,Free
45,UK,YouTube,Jazz,110,162,Adele,Free
18,Germany,Deezer,Metal,38,16,Dua Lipa,Premium
38,Canada,Apple Music,EDM,38,101,Ed Sheeran,Premium
55,Australia,Tidal,Classical,160,230,The Weeknd,Premium
15,Canada,Deezer,Country,563,479,Dua Lipa,Free
43,Canada,Deezer,Hip-Hop,545,40,BTS,Free
13,South Korea,Apple Music,Jazz,589,122,BTS,Free
16,Brazil,Deezer,Country,256,67,Ed Sheeran,Premium
20,France,Apple Music,Rock,164,53,Dua Lipa,Premium
25,Japan,YouTube,Rock,523,386,Ed Sheeran,Premium
21,USA,Tidal,EDM,312,274,BTS,Free
56,USA,Spotify,Jazz,181,288,Drake,Premium
22,Canada,Deezer,EDM,558,389,Drake,Premium
57,Germany,Spotify,Country,143,238,Bad Bunny,Free
49,South Korea,Tidal,Hip-Hop,206,202,Bad Bunny,Premium
51,UK,YouTube,Reggae,518,175,Ed Sheeran,Free
31,Japan,Spotify,Hip-Hop,534,425,The Weeknd,Premium
38,Canada,Apple Music,EDM,334,93,Ed Sheeran,Free
53,Australia,Apple Music,Classical,482,215,The Weeknd,Free
23,Japan,Deezer,Classical,555,209,Drake,Premium
15,South Korea,Apple Music,Metal,480,4,BTS,Premium
14,Canada,Tidal,Jazz,169,392,Post Malone,Premium
26,UK,Apple Music,Country,367,320,Bad Bunny,Premium
56,USA,Deezer,Classical,417,460,BTS,Premium
31,Germany,Spotify,Jazz,414,267,Post Malone,Free
50,Brazil,Deezer,R&B,68,297,Drake,Free
